date,sales
2023-04-03,143.31
2023-04-04,148.18
2023-04-05,139.84
2023-04-06,121.55
2023-04-07,122.31
2023-04-08,125.1
2023-04-09,135.61
2023-04-10,146.2
2023-04-11,143.24
2023-04-12,140.14
2023-04-13,127.54
2023-04-14,117.16
2023-04-15,123.28
2023-04-16,137.85
2023-04-17,156.99
2023-04-18,151.33
2023-04-19,143.62
2023-04-20,128.92
2023-04-21,111.56
2023-04-22,123.89
2023-04-23,136.01
2023-04-24,159.71
2023-04-25,149.28
2023-04-26,143.58
2023-04-27,128.81
2023-04-28,114.96
2023-04-29,129.33
2023-04-30,139.02
2023-05-01,150.85
2023-05-02,145.15
2023-05-03,148.49
2023-05-04,121.34
2023-05-05,123.05
2023-05-06,133.84
2023-05-07,129.53
2023-05-08,143.25
2023-05-09,149.33
2023-05-10,138.05
2023-05-11,119.65
2023-05-12,119.47
2023-05-13,116.54
2023-05-14,135.78
2023-05-15,140.37
2023-05-16,155.43
2023-05-17,135.46
2023-05-18,124.56
2023-05-19,121.92
2023-05-20,114.39
2023-05-21,133.2
2023-05-22,150.12
2023-05-23,138.22
2023-05-24,138.84
2023-05-25,125.98
2023-05-26,120.24
2023-05-27,112.8
2023-05-28,123.87
2023-05-29,144.57
2023-05-30,146.09
2023-05-31,137.49
2023-06-01,124.7
2023-06-02,111.19
2023-06-03,118.38
2023-06-04,130.14
2023-06-05,136.56
2023-06-06,152.09
2023-06-07,136.73
2023-06-08,115.11
2023-06-09,115.95
2023-06-10,110.4
2023-06-11,130.65
2023-06-12,143.94
2023-06-13,136.64
2023-06-14,137.15
2023-06-15,121.08
2023-06-16,114.71
2023-06-17,122.67
2023-06-18,123.38
2023-06-19,132.26
2023-06-20,134.17
2023-06-21,126.11
2023-06-22,116.48
2023-06-23,110.14
2023-06-24,112.4
2023-06-25,126.56
2023-06-26,133.9
2023-06-27,143.68
2023-06-28,126.65
2023-06-29,128.24
2023-06-30,109.33
2023-07-01,104.5
2023-07-02,114.83
2023-07-03,134.01
2023-07-04,133.05
2023-07-05,129.3
2023-07-06,114.76
2023-07-07,103.6
2023-07-08,102.31
2023-07-09,110.38
2023-07-10,127.13
2023-07-11,136.22
2023-07-12,124.58
2023-07-13,103.95
2023-07-14,102.61
2023-07-15,106.26
2023-07-16,111.33
2023-07-17,127.94
2023-07-18,130.05
2023-07-19,115.63
2023-07-20,189.81
2023-07-21,102.41
2023-07-22,107.62
2023-07-23,118.91
2023-07-24,118.18
2023-07-25,122.99
2023-07-26,121.85
2023-07-27,108.54
2023-07-28,100.15
2023-07-29,119.46
2023-07-30,114.5
2023-07-31,128.78
2023-08-01,130.5
2023-08-02,120.61
2023-08-03,102.5
2023-08-04,99.5
2023-08-05,94.48
2023-08-06,108.64
2023-08-07,118.88
2023-08-08,124.37
2023-08-09,127.18
2023-08-10,93.03
2023-08-11,97.45
2023-08-12,88.63
2023-08-13,105.84
2023-08-14,125.16
2023-08-15,122.73
2023-08-16,108.7
2023-08-17,97.3
2023-08-18,95.96
2023-08-19,91.62
2023-08-20,107.9
2023-08-21,118.6
2023-08-22,117.84
2023-08-23,123.53
2023-08-24,102.81
2023-08-25,81.24
2023-08-26,95.05
2023-08-27,102.4
2023-08-28,121.56
2023-08-29,116.1
2023-08-30,111.25
2023-08-31,101.22
2023-09-01,94.79
2023-09-02,87.25
2023-09-03,103.21
2023-09-04,114.15
2023-09-05,116.07
2023-09-06,119.97
2023-09-07,100.08
2023-09-08,83.57
2023-09-09,97.3
2023-09-10,115.0
2023-09-11,121.23
2023-09-12,111.33
2023-09-13,108.36
2023-09-14,104.08
2023-09-15,86.07
2023-09-16,94.72
2023-09-17,108.1
2023-09-18,111.32
2023-09-19,118.57
2023-09-20,94.56
2023-09-21,92.66
2023-09-22,88.44
2023-09-23,86.4
2023-09-24,112.57
2023-09-25,109.05
2023-09-26,116.96
2023-09-27,111.77
2023-09-28,105.38
2023-09-29,82.96
2023-09-30,98.95
2023-10-01,105.01
2023-10-02,111.89
2023-10-03,122.12
2023-10-04,112.81
2023-10-05,95.93
2023-10-06,91.3
2023-10-07,92.07
2023-10-08,106.44
2023-10-09,121.07
2023-10-10,128.75
2023-10-11,106.69
2023-10-12,110.71
2023-10-13,82.36
2023-10-14,94.45
2023-10-15,110.08
2023-10-16,120.49
2023-10-17,119.08
2023-10-18,113.26
2023-10-19,99.06
2023-10-20,90.7
2023-10-21,101.03
2023-10-22,110.55
2023-10-23,117.29
2023-10-24,128.42
2023-10-25,117.61
2023-10-26,107.41
2023-10-27,98.66
2023-10-28,94.56
2023-10-29,107.93
2023-10-30,126.5
2023-10-31,129.03
2023-11-01,118.08
2023-11-02,106.08
2023-11-03,104.1
2023-11-04,97.99
2023-11-05,115.76
2023-11-06,124.09
2023-11-07,127.27
2023-11-08,126.1
2023-11-09,112.08
2023-11-10,104.28
2023-11-11,110.02
2023-11-12,115.72
2023-11-13,131.14
2023-11-14,129.47
2023-11-15,124.94
2023-11-16,110.06
2023-11-17,103.49
2023-11-18,109.3
2023-11-19,114.38
2023-11-20,141.09
2023-11-21,128.93
2023-11-22,120.22
2023-11-23,119.51
2023-11-24,110.01
2023-11-25,112.52
2023-11-26,124.73
2023-11-27,133.71
2023-11-28,132.65
2023-11-29,129.87
2023-11-30,113.56
2023-12-01,114.19
2023-12-02,111.96
2023-12-03,120.78
2023-12-04,135.51
2023-12-05,142.57
2023-12-06,130.07
2023-12-07,116.26
2023-12-08,113.98
2023-12-09,117.39
2023-12-10,125.86
2023-12-11,138.28
2023-12-12,145.21
2023-12-13,129.21
2023-12-14,116.91
2023-12-15,112.76
2023-12-16,118.71
2023-12-17,133.58
2023-12-18,151.66
2023-12-19,151.99
2023-12-20,139.32
2023-12-21,127.54
2023-12-22,115.04
2023-12-23,123.39
2023-12-24,134.3
2023-12-25,149.62
2023-12-26,147.31
2023-12-27,146.46
2023-12-28,139.05
2023-12-29,123.27
2023-12-30,129.26
2023-12-31,142.97
2024-01-01,149.78
2024-01-02,156.34
2024-01-03,147.71
2024-01-04,135.65
2024-01-05,123.72
2024-01-06,131.15
2024-01-07,145.78
2024-01-08,162.81
2024-01-09,163.79
2024-01-10,162.17
2024-01-11,135.09
2024-01-12,135.71
2024-01-13,135.69
2024-01-14,157.98
2024-01-15,155.24
2024-01-16,158.51
2024-01-17,152.12
2024-01-18,132.0
2024-01-19,132.4
2024-01-20,134.65
2024-01-21,151.44
2024-01-22,164.64
2024-01-23,175.72
2024-01-24,163.48
2024-01-25,143.33
2024-01-26,134.11
2024-01-27,144.46
2024-01-28,147.62
2024-01-29,175.6
2024-01-30,175.73
2024-01-31,159.85
2024-02-01,141.1
2024-02-02,148.8
2024-02-03,144.83
2024-02-04,163.79
2024-02-05,101.82
2024-02-06,170.15
2024-02-07,165.52
2024-02-08,153.16
2024-02-09,143.01
2024-02-10,151.72
2024-02-11,155.43
2024-02-12,172.22
2024-02-13,176.86
2024-02-14,171.14
2024-02-15,159.53
2024-02-16,142.65
2024-02-17,143.91
2024-02-18,170.1
2024-02-19,177.5
2024-02-20,175.38
2024-02-21,179.15
2024-02-22,159.34
2024-02-23,156.92
2024-02-24,154.62
2024-02-25,176.68
2024-02-26,187.24
2024-02-27,180.47
2024-02-28,178.8
2024-02-29,164.49
2024-03-01,160.33
2024-03-02,151.88
2024-03-03,172.19
2024-03-04,186.09
2024-03-05,175.21
2024-03-06,170.27
2024-03-07,153.27
2024-03-08,154.29
2024-03-09,162.4
2024-03-10,178.33
2024-03-11,183.18
2024-03-12,194.11
2024-03-13,171.2
2024-03-14,156.82
2024-03-15,157.18
2024-03-16,162.51
2024-03-17,172.38
2024-03-18,174.15
2024-03-19,187.15
2024-03-20,173.16
2024-03-21,170.21
2024-03-22,160.76
2024-03-23,157.31
2024-03-24,171.34
2024-03-25,180.51
2024-03-26,188.55
2024-03-27,185.67
2024-03-28,163.1
2024-03-29,162.57
2024-03-30,160.42
2024-03-31,170.96
2024-04-01,186.23
2024-04-02,184.6
2024-04-03,178.99
2024-04-04,162.84
2024-04-05,170.63
2024-04-06,163.96
2024-04-07,172.08
2024-04-08,188.44
2024-04-09,189.76
2024-04-10,181.15
2024-04-11,172.35
2024-04-12,164.99
2024-04-13,161.47
2024-04-14,172.99
2024-04-15,186.23
2024-04-16,179.0
2024-04-17,174.82
2024-04-18,176.2
2024-04-19,169.46
2024-04-20,162.86
2024-04-21,178.69
2024-04-22,189.05
2024-04-23,205.74
2024-04-24,187.78
2024-04-25,168.47
2024-04-26,156.15
2024-04-27,155.72
2024-04-28,176.42
2024-04-29,183.26
2024-04-30,182.74
2024-05-01,178.4
2024-05-02,163.11
2024-05-03,168.72
2024-05-04,167.47
2024-05-05,174.63
2024-05-06,193.67
2024-05-07,189.42
2024-05-08,176.47
2024-05-09,175.22
2024-05-10,162.03
2024-05-11,156.89
2024-05-12,172.69
2024-05-13,180.82
2024-05-14,181.0
2024-05-15,184.25
2024-05-16,175.96
2024-05-17,151.11
2024-05-18,163.62
2024-05-19,169.07
2024-05-20,181.41
2024-05-21,183.57
2024-05-22,173.88
2024-05-23,165.2
2024-05-24,152.46
2024-05-25,160.63
2024-05-26,170.52
2024-05-27,181.06
2024-05-28,180.37
2024-05-29,173.66
2024-05-30,167.05
2024-05-31,157.41
2024-06-01,152.65
2024-06-02,169.5
2024-06-03,184.22
2024-06-04,174.74
2024-06-05,177.41
2024-06-06,158.09
2024-06-07,155.86
2024-06-08,151.8
2024-06-09,158.03
2024-06-10,170.36
2024-06-11,181.34
2024-06-12,173.98
2024-06-13,154.85
2024-06-14,154.15
2024-06-15,145.24
2024-06-16,164.64
2024-06-17,170.34
2024-06-18,175.72
2024-06-19,170.79
2024-06-20,152.93
2024-06-21,146.88
2024-06-22,156.41
2024-06-23,159.91
2024-06-24,178.38
2024-06-25,171.14
2024-06-26,171.0
2024-06-27,162.22
2024-06-28,134.22
2024-06-29,145.17
2024-06-30,163.45
2024-07-01,170.95
2024-07-02,176.4
2024-07-03,163.09
2024-07-04,253.21
2024-07-05,143.56
2024-07-06,152.75
2024-07-07,159.59
2024-07-08,171.42
2024-07-09,170.25
2024-07-10,161.44
2024-07-11,148.38
2024-07-12,144.09
2024-07-13,142.6
2024-07-14,157.56
2024-07-15,177.91
2024-07-16,174.48
2024-07-17,160.07
2024-07-18,154.39
2024-07-19,137.92
2024-07-20,132.37
2024-07-21,148.95
2024-07-22,156.07
2024-07-23,166.27
2024-07-24,159.71
2024-07-25,154.7
2024-07-26,139.55
2024-07-27,139.43
2024-07-28,156.12
2024-07-29,152.37
2024-07-30,167.23
2024-07-31,161.53
2024-08-01,137.0
2024-08-02,141.73
2024-08-03,140.35
2024-08-04,148.05
2024-08-05,164.77
2024-08-06,175.61
2024-08-07,156.81
2024-08-08,143.89
2024-08-09,132.0
2024-08-10,132.72
2024-08-11,152.63
2024-08-12,155.7
2024-08-13,163.03
2024-08-14,151.96
2024-08-15,143.52
2024-08-16,134.48
2024-08-17,140.7
2024-08-18,144.51
2024-08-19,157.25
2024-08-20,156.43
2024-08-21,150.81
2024-08-22,141.74
2024-08-23,135.36
2024-08-24,129.71
2024-08-25,150.25
2024-08-26,164.27
2024-08-27,162.31
2024-08-28,161.39
2024-08-29,134.99
2024-08-30,124.41
2024-08-31,124.52
2024-09-01,152.52
2024-09-02,159.94
2024-09-03,159.2
2024-09-04,152.67
2024-09-05,132.55
2024-09-06,142.22
2024-09-07,133.47
2024-09-08,145.04
2024-09-09,159.8
2024-09-10,161.43
2024-09-11,151.99
2024-09-12,133.87
2024-09-13,132.04
2024-09-14,141.97
2024-09-15,151.01
2024-09-16,163.97
2024-09-17,156.35
2024-09-18,145.86
2024-09-19,137.18
2024-09-20,130.0
2024-09-21,138.12
2024-09-22,135.96
2024-09-23,163.84
2024-09-24,158.36
2024-09-25,148.96
2024-09-26,133.09
2024-09-27,121.84
2024-09-28,137.21
2024-09-29,145.28
2024-09-30,150.29
2024-10-01,153.27
2024-10-02,150.07
2024-10-03,147.2
2024-10-04,129.57
2024-10-05,126.39
2024-10-06,144.55
2024-10-07,156.29
2024-10-08,147.23
2024-10-09,152.49
2024-10-10,138.76
2024-10-11,135.47
2024-10-12,144.32
2024-10-13,152.63
2024-10-14,157.58
2024-10-15,156.5
2024-10-16,167.0
2024-10-17,141.64
2024-10-18,133.53
2024-10-19,136.47
2024-10-20,149.56
2024-10-21,159.83
2024-10-22,160.84
2024-10-23,153.12
2024-10-24,142.95
2024-10-25,132.56
2024-10-26,134.9
2024-10-27,151.02
2024-10-28,161.24
2024-10-29,173.24
2024-10-30,144.66
2024-10-31,150.68
2024-11-01,143.66
2024-11-02,130.3
2024-11-03,151.02
2024-11-04,162.95
2024-11-05,161.01
2024-11-06,156.4
2024-11-07,142.09
2024-11-08,148.66
2024-11-09,147.85
2024-11-10,161.64
2024-11-11,171.0
2024-11-12,165.04
2024-11-13,160.34
2024-11-14,152.8
2024-11-15,136.54
2024-11-16,149.52
2024-11-17,156.9
2024-11-18,168.38
2024-11-19,177.14
2024-11-20,168.12
2024-11-21,151.52
2024-11-22,151.45
2024-11-23,143.59
2024-11-24,164.26
2024-11-25,176.33
2024-11-26,175.18
2024-11-27,170.71
2024-11-28,150.27
2024-11-29,153.51
2024-11-30,151.34
2024-12-01,161.86
2024-12-02,181.93
2024-12-03,176.55
2024-12-04,165.41
2024-12-05,152.15
2024-12-06,155.34
2024-12-07,149.31
2024-12-08,176.72
2024-12-09,169.77
2024-12-10,192.07
2024-12-11,177.04
2024-12-12,163.0
2024-12-13,153.16
2024-12-14,161.3
2024-12-15,171.37
2024-12-16,189.32
2024-12-17,187.8
2024-12-18,180.39
2024-12-19,165.34
2024-12-20,159.29
2024-12-21,164.54
2024-12-22,166.71
2024-12-23,180.79
2024-12-24,194.68
2024-12-25,184.24
2024-12-26,169.98
2024-12-27,163.42
2024-12-28,168.5
2024-12-29,176.33
2024-12-30,187.41
